Tier,STIG ID,Control Name,Category,Security Value,User Friction,Why It Matters,Registry/PowerShell Fix,GPO Path
TIER 1,V-253358,WDigest Authentication must be disabled,Credential Protection,HIGH,ZERO,Prevents plaintext password storage in LSASS memory,HKLM\SYSTEM\CurrentControlSet\Control\SecurityProviders\WDigest\UseLogonCredential = 0,Computer Config >> Admin Templates >> MS Security Guide >> WDigest Authentication = Disabled
TIER 1,V-253460,Kerberos encryption - prevent DES/RC4,Credential Protection,HIGH,ZERO,Forces modern AES encryption for Kerberos,HKLM\SOFTWARE\Microsoft\Windows\CurrentVersion\Policies\System\Kerberos\Parameters\SupportedEncryptionTypes = 0x7ffffff8,Computer Config >> Security Settings >> Local Policies >> Security Options >> Network security: Configure encryption types allowed for Kerberos
TIER 1,V-253285,PowerShell 2.0 must be disabled,Attack Surface Reduction,HIGH,ZERO,Removes legacy PowerShell that bypasses modern security,Disable-WindowsOptionalFeature -Online -FeatureName MicrosoftWindowsPowerShellV2Root,Windows Features >> Uncheck PowerShell 2.0
TIER 1,V-253367,Command line in process creation events,Logging & Detection,MEDIUM,ZERO,Adds forensic detail to process execution logs,HKLM\SOFTWARE\Microsoft\Windows\CurrentVersion\Policies\System\Audit\ProcessCreationIncludeCmdLine_Enabled = 1,Computer Config >> Admin Templates >> System >> Audit Process Creation >> Include command line = Enabled
TIER 1,V-253414,PowerShell script block logging,Logging & Detection,HIGH,ZERO,Records PowerShell code blocks for malware detection,HKLM\SOFTWARE\Policies\Microsoft\Windows\PowerShell\ScriptBlockLogging\EnableScriptBlockLogging = 1,Computer Config >> Admin Templates >> Windows Components >> Windows PowerShell >> Turn on Script Block Logging = Enabled
TIER 1,V-253437,Force audit policy subcategories,Logging Foundation,CRITICAL,ZERO,Ensures advanced audit policies take precedence,HKLM\SYSTEM\CurrentControlSet\Control\Lsa\SCENoApplyLegacyAuditPolicy = 1,Computer Config >> Security Settings >> Local Policies >> Security Options >> Audit: Force audit policy subcategory settings = Enabled
TIER 1,V-253399,Disable Windows Game Recording,Data Leakage Prevention,MEDIUM,ZERO,Prevents Game DVR from recording sensitive screens,HKLM\SOFTWARE\Policies\Microsoft\Windows\GameDVR\AllowGameDVR = 0,Computer Config >> Admin Templates >> Windows Components >> Windows Game Recording and Broadcasting = Disabled
TIER 1,V-268317,Copilot must be disabled,Data Leakage Prevention,HIGH,ZERO,Prevents AI from sending data to Microsoft cloud,HKCU\SOFTWARE\Policies\Microsoft\Windows\WindowsCopilot\TurnOffWindowsCopilot = 1,User Config >> Admin Templates >> Windows Components >> Windows Copilot >> Turn off Windows Copilot = Enabled
TIER 1,V-253413,Disable auto sign-in after restart,Physical Security,MEDIUM,ZERO,Prevents automatic logon after Windows updates,HKLM\SOFTWARE\Microsoft\Windows\CurrentVersion\Policies\System\DisableAutomaticRestartSignOn = 1,Computer Config >> Admin Templates >> Windows Components >> Windows Logon Options >> Sign-in last user automatically after restart = Disabled
TIER 1,V-253466,FIPS-compliant algorithms,Encryption Standards,HIGH,ZERO,Forces use of FIPS 140-2 validated cryptography,HKLM\SYSTEM\CurrentControlSet\Control\Lsa\FIPSAlgorithmPolicy\Enabled = 1,Computer Config >> Security Settings >> Local Policies >> Security Options >> System cryptography: Use FIPS compliant algorithms = Enabled
TIER 1,V-253354,Prevent IP source routing,Network Attack Prevention,HIGH,ZERO,Blocks IP source routing attacks,HKLM\SYSTEM\CurrentControlSet\Services\Tcpip\Parameters\DisableIPSourceRouting = 2,Computer Config >> Admin Templates >> MSS (Legacy) >> Disable IP source routing
TIER 1,V-253353,IPv6 source routing protection,Network Attack Prevention,HIGH,ZERO,Blocks IPv6 source routing attacks,HKLM\SYSTEM\CurrentControlSet\Services\Tcpip6\Parameters\DisableIPSourceRouting = 2,Computer Config >> Admin Templates >> MSS (Legacy) >> Disable IPv6 source routing
TIER 2,V-253444,Machine inactivity limit 15 minutes,Physical Security,HIGH,LOW,Auto-locks unattended workstations,HKLM\SOFTWARE\Microsoft\Windows\CurrentVersion\Policies\System\InactivityTimeoutSecs = 900,Computer Config >> Security Settings >> Local Policies >> Security Options >> Interactive logon: Machine inactivity limit = 900
TIER 2,V-253469,UAC prompt on secure desktop,Malware Prevention,HIGH,LOW,Isolates UAC prompts from malware interference,HKLM\SOFTWARE\Microsoft\Windows\CurrentVersion\Policies\System\ConsentPromptBehaviorAdmin = 2,Computer Config >> Security Settings >> Local Policies >> Security Options >> UAC: Behavior of elevation prompt for administrators = Prompt for consent on secure desktop
TIER 2,V-253395,Microsoft Defender SmartScreen,Web Protection,HIGH,LOW,Blocks malicious downloads and websites,HKLM\SOFTWARE\Policies\Microsoft\Windows\System\EnableSmartScreen = 1,"Computer Config >> Admin Templates >> Windows Components >> File Explorer >> Configure Windows Defender SmartScreen = Enabled, Warn and prevent bypass"
TIER 2,V-253392,Limit enhanced diagnostic data,Privacy,MEDIUM,LOW,Reduces telemetry sent to Microsoft,HKLM\SOFTWARE\Policies\Microsoft\Windows\DataCollection\LimitEnhancedDiagnosticDataWindowsAnalytics = 1,Computer Config >> Admin Templates >> Windows Components >> Data Collection >> Limit Enhanced diagnostic data = Enabled
TIER 2,V-253393,Windows Telemetry not Full,Privacy,MEDIUM,LOW,Prevents Full telemetry collection,HKLM\SOFTWARE\Policies\Microsoft\Windows\DataCollection\AllowTelemetry = 1,"Computer Config >> Admin Templates >> Windows Components >> Data Collection >> Allow Diagnostic Data = Enabled, Diagnostic data off"
TIER 2,V-253350,Camera on lock screen disabled,Physical Security,MEDIUM,LOW,Prevents camera access before authentication,HKLM\SOFTWARE\Policies\Microsoft\Windows\Personalization\NoLockScreenCamera = 1,Computer Config >> Admin Templates >> Control Panel >> Personalization >> Prevent enabling lock screen camera = Enabled
TIER 2,V-253407,Block RSS feed attachments,Malware Prevention,MEDIUM,LOW,Prevents malware delivery via RSS feeds,HKLM\SOFTWARE\Policies\Microsoft\Internet Explorer\Feeds\DisableEnclosureDownload = 1,Computer Config >> Admin Templates >> Windows Components >> RSS Feeds >> Prevent downloading of enclosures = Enabled
TIER 2,V-253374,Prevent print driver downloads HTTP,Malware Prevention,MEDIUM,LOW,Blocks unencrypted printer driver downloads,HKLM\SOFTWARE\Policies\Microsoft\Windows NT\Printers\DisableWebPnPDownload = 1,Computer Config >> Admin Templates >> Printers >> Prevent download of print drivers over HTTP = Enabled
TIER 2,V-253376,Prevent printing over HTTP,Malware Prevention,MEDIUM,LOW,Blocks insecure printing protocols,HKLM\SOFTWARE\Policies\Microsoft\Windows NT\Printers\DisableHTTPPrinting = 1,Computer Config >> Admin Templates >> System >> Internet Communication >> Turn off printing over HTTP = Enabled
TIER 2,V-253417,WinRM client - no unencrypted traffic,Credential Protection,HIGH,LOW,Forces encryption for WinRM client connections,HKLM\SOFTWARE\Policies\Microsoft\Windows\WinRM\Client\AllowUnencryptedTraffic = 0,Computer Config >> Admin Templates >> Windows Components >> WinRM >> WinRM Client >> Allow unencrypted traffic = Disabled
TIER 2,V-253419,WinRM service - no unencrypted traffic,Credential Protection,HIGH,LOW,Forces encryption for WinRM service,HKLM\SOFTWARE\Policies\Microsoft\Windows\WinRM\Service\AllowUnencryptedTraffic = 0,Computer Config >> Admin Templates >> Windows Components >> WinRM >> WinRM Service >> Allow unencrypted traffic = Disabled
TIER 2,V-253401,Windows Hello minimum 6-digit PIN,Authentication,MEDIUM,LOW,Prevents weak PINs for Windows Hello,HKLM\SOFTWARE\Policies\Microsoft\PassportForWork\PINComplexity\MinimumPINLength = 6,Computer Config >> Admin Templates >> Windows Components >> Windows Hello for Business >> PIN Complexity >> Minimum PIN length = 6
TIER 3,V-253289,Disable Secondary Logon service,Credential Security,MEDIUM,HIGH,BREAKS 'Run as different user' - major IT workflow impact,Set-Service -Name seclogon -StartupType Disabled,Services >> Secondary Logon >> Startup type = Disabled
TIER 3,V-253359,Remove 'Run as different user' menu,Credential Security,MEDIUM,HIGH,Removes context menu option - impacts IT troubleshooting,Multiple registry keys - see SecGuide ADMX,Computer Config >> Admin Templates >> MS Security Guide >> Remove Run as Different User = Enabled
TIER 3,V-253357,UAC restrictions on network logons,Lateral Movement Prevention,HIGH,HIGH,Breaks remote admin tools using local accounts,HKLM\SOFTWARE\Microsoft\Windows\CurrentVersion\Policies\System\LocalAccountTokenFilterPolicy = 0,Computer Config >> Admin Templates >> MS Security Guide >> Apply UAC restrictions to local accounts on network logons = Enabled
TIER 3,V-253360,Block SMB guest logons,Authentication,MEDIUM,MEDIUM,May break legacy NAS/printer access,HKLM\SOFTWARE\Policies\Microsoft\Windows\LanmanWorkstation\AllowInsecureGuestAuth = 0,Computer Config >> Admin Templates >> Network >> Lanman Workstation >> Enable insecure guest logons = Disabled
TIER 3,V-253362,Hardened UNC paths SYSVOL/NETLOGON,Domain Security,HIGH,MEDIUM,Requires DC support for SMB signing,HKLM\SOFTWARE\Policies\Microsoft\Windows\NetworkProvider\HardenedPaths,Computer Config >> Admin Templates >> Network >> Network Provider >> Hardened UNC Paths = Enabled
TIER 3,V-253383,Restrict unauthenticated RPC,Attack Surface Reduction,MEDIUM,MEDIUM,May break legacy applications using RPC,HKLM\SOFTWARE\Policies\Microsoft\Windows NT\Rpc\RestrictRemoteClients = 1,"Computer Config >> Admin Templates >> System >> Remote Procedure Call >> Restrict Unauthenticated RPC clients = Enabled, Authenticated"
TIER 3,V-253449,SMB client signing required,Network Security,HIGH,MEDIUM,May break connections to older file servers/NAS,HKLM\SYSTEM\CurrentControlSet\Services\LanmanWorkstation\Parameters\RequireSecuritySignature = 1,Computer Config >> Security Settings >> Local Policies >> Security Options >> MS network client: Digitally sign communications (always) = Enabled
TIER 3,V-253451,SMB server signing required,Network Security,HIGH,MEDIUM,May break connections from older clients,HKLM\SYSTEM\CurrentControlSet\Services\LanManServer\Parameters\RequireSecuritySignature = 1,Computer Config >> Security Settings >> Local Policies >> Security Options >> MS network server: Digitally sign communications (always) = Enabled
TIER 3,V-253471,UAC auto-deny standard users,Privilege Escalation Prevention,MEDIUM,HIGH,Increases help desk tickets - users can't elevate,HKLM\SOFTWARE\Microsoft\Windows\CurrentVersion\Policies\System\ConsentPromptBehaviorUser = 0,Computer Config >> Security Settings >> Local Policies >> Security Options >> UAC: Behavior of elevation prompt for standard users = Auto deny
TIER 3,V-253432,Disable built-in Administrator,Attack Surface Reduction,HIGH,MEDIUM,May impact LAPS workflows if not planned,HKLM\SOFTWARE\Microsoft\Windows\CurrentVersion\Policies\System\EnableAdmin = 0,Computer Config >> Security Settings >> Local Policies >> Security Options >> Accounts: Administrator account status = Disabled
